"module"
"JDBC Thin Client"
"w3wp.exe"
"httpd"
""
"ORACLE.EXE"
"OGG-DMWS_EXT-GLOPEN_DATA_SOURC"
"OGG-DMWS_EXT-OCI_META_THREAD"
"JobServerChild.exe"
"SQL*Plus"
"Toad.exe"
"TOAD 11.6.0.43"
"emagent_SQL_rac_database"
"DBMS_SCHEDULER"
"crw32.exe"
"TOAD background query session"
"TOAD 11.5.0.56"
"WIReportServer.exe"
"WebIRichClient.exe"
