"module"
"oracle"
"ORACLE.EXE"
""
"httpd"
"w3wp.exe"
"DBMS_SCHEDULER"
"SQL*Plus"
"JDBC Thin Client"
"OGG-RI99_E-OCI_META_THREAD"
"TOAD 11.6.0.43"
"OGG-RI99_E-GLOPEN_DATA_SOURCE"
"sqlplus.exe"
"emagent_SQL_rac_database"
