"module"
"vpxd.exe"
""
"JDBC Thin Client"
"IV Reports Client Launcher.exe"
"oracle"
"IV.Services.exe"
"SQL*Plus"
"cservr.exe"
"SQL Developer"
"Data Pump Worker"
"ude"
"Data Pump Master"
"TOAD 12.1.0.22"
"DBMS_SCHEDULER"
"ctssoffi.exe"
"DBArt.exe"
