"module"
"SQL*Plus"
"Foglight for Oracle <5.6.4.335"
"pmdtm"
"bltwish.exe"
"TOAD 12.0.0.61"
"SQL Developer"
"TOAD 11.0.0.116"
"BIBusTKServerMain.exe"
"JDBC Thin Client"
"DBMS_SCHEDULER"
"BMT.exe"
""
"TOAD 9.7.2.5"
"Toad.exe"
"TOAD 12.1.0.22"
"cogtr.exe"
