"module"
"DBMS_SCHEDULER"
"ArcSOC.exe"
""
"ArcMap.exe"
"ArcCatalog.exe"
"giomgr"
"python.exe"
"sqlplus"
"oraagent.bin"
"RuntimeLocalServer.exe"
"sdesetup"
"pythonw.exe"
"RegTool.exe"
"ArcScene.exe"
"Admin Connection"
"SQL*Plus"
