"module"
"pmdtm"
"Foglight for Oracle <5.6.4.335"
"SQL*Plus"
"TOAD 12.0.0.61"
"SQL Developer"
"DBMS_SCHEDULER"
"Toad.exe"
"TOAD 12.1.0.22"
"Informatica PowerCenter Design"
""
"JDBC Thin Client"
"rman"
