"module"
""
"Data Pump Worker"
"ude"
"DBMS_SCHEDULER"
"Data Pump Master"
"ENROUTE2_INGEST"
"SQL*Plus"
"SQL Developer"
"PARCEL2_INGEST"
"JDBC Thin Client"
