"module"
""
"JDBC Thin Client"
"rman"
"PSPRCSRV.exe"
"com.wm.dd.jdbc.oraclebase.ddaj"
"PSAPPSRV.exe"
"PSAESRV.exe"
"PSMONITORSRV.exe"
"PERL.EXE"
"SQL Developer"
"DBMS_SCHEDULER"
"sqrw.exe"
