"module"
"DBMS_SCHEDULER"
"JDBC Connect Client"
"SQL Loader Conventional Path L"
""
"perl"
"java"
"rman"
"AINSUTL.OCRWorkerProcess.exe"
"DTExec.exe"
"/usr/fs615web/apache-2.0.63/bi"
"JDBC Thin Client"
"SQL*Plus"
"ArcSOC.exe"
"FMEEngine.exe"
"emagent"
"oracle"
"/usr/fs615web/apache-2.2.20/bi"
"ArcMap.exe"
"DesktopIndexingService.exe"
"w3wp.exe"
"frmweb"
"brioqry.exe"
"TOAD 12.0.0.61"
"RegTool.exe"
"PLSQLDev.exe"
"plsqldev.exe"
"fme.exe"
"Data Pump Worker"
"TOAD 12.1.0.22"
"ArcCatalog.exe"
"Data Pump Master"
"ude"
"WIShapefileImport.exe"
"httpd"
"APEX:APPLICATION 118"
"PL/SQL Developer"
"das"
"RuntimeLocalServer.exe"
"arccatalog.exe"
"rwbuilder.exe"
"OEM"
"R1DepotBatchProcessing.exe"
"java.exe"
"sqlservr.exe"
"SQL Developer"
"sqldeveloper.exe"
"php"
"APEX:APPLICATION 200"
"sqlplus"
"TOAD 11.0.0.116"
"rwrun.exe"
"php.exe"
"fmeworkbench.exe"
"fmeworker.exe"
