"module"
""
"SQL*Plus"
"cms.exe"
"OpssEmail.exe"
"w3wp.exe"
"OpssMIS.exe"
"OGG-APPS_E-OCI_META_THREAD"
"ORACLE.EXE"
"DBMS_SCHEDULER"
"al_engine.exe"
"oracle"
"OPSSQuery.exe"
"wireportserver.exe"
"PendingDemand.exe"
"CMS.exe"
"PPTWizard.SERVICE_PKG"
"IBM Rational ClearQuest - [CCR"
"JDBC Thin Client"
"TOAD 11.6.0.43"
"IBM Rational ClearQuest Login"
"Submit QA_DEV_TIR CCR00079087"
"IBM Rational ClearQuest"
"IBM Rational ClearQuest - CCR"
"OGG-APPS_E-GLOPEN_DATA_SOURCE"
"ivams.exe"
"Submit CCR CCR00079145"
"emagent_SQL_rac_database"
"CST 05.exe"
"JobServerChild.exe"
